Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Source,EID
"Akpinar B.","An evaluation of visual reading and presentation learning domain in turkish language curriculum in the 1st - 5th years of primary school [Ilköǧretim 1-5. Siniflar türkçe öǧretim programlari görsel okuma ve sunu öǧrenme alaninin deǧerlendirilmesi]",2009,"Egitim ve Bilim","34","154",,"37","49",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888861340&partnerID=40&md5=e5ae74174fe8144a9a0f4374bac636a1","Due to the increasing effect of visual materials in daily life, visual reading is accepted as one of the basic skills to be acquired in education. As a reflection of this, a new learning domain, named ""visual reading and presentation"" was added to Primary School First Level Turkish Curriculum in 2005-2006 educational year. It is expected that this new learning domain will prepare students better for the 21st century which seems to be full of images of all sorts. The aim of this study is to determine the efficiency of visual reading and presentation learning domain in application in Turkish classes, based on the views of teachers. For this purpose, a survey was conducted on 550 classroom teachers. Findings obtained from the analyses of the data can be summarized as follows: it is determined in the study that teachers generally welcome learning domain of visual reading and presentation with an exception of a few objectives and they think that it is efficient in application. Furthermore, teachers think that learning domain of visual reading and presentation has positive effects on learning. However, according to teachers, schools lack the necessary materials to fulfill the requirements of this domain.",Article,Scopus,2-s2.0-84888861340
"Iyer H.","A profession in transition: Towards development and implementation of standards for visual resources management. Part B - The professional's perspective and beyond",2009,"Information Research","14","4",,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77149135779&partnerID=40&md5=9e1ac8da98941ba3a8fcb424b857e40b","Introduction. The results of a survey of visual resources professionals, the core competencies revealed and the next phases of the project are discussed in this paper, which complements Part A in which a content analysis of job listings was reported. Method. A survey of visual resources professionals was conducted to gather opinions on status, recruitment, training and skills needed in the visual resources field. Analysis. Two sets of the categories were employed for content analysis. The first category was the information environments within which the jobs existed. The sub-categories that emerged were academic, archives, museums, library and private information environments. The second category was for specifying the qualifying requirements for the jobs. The sub-categories included academic background, experience and skills and knowledge. Results. Image processing, digital imaging, visual literacy, communication, data asset management and cataloguing emerged as desired skill areas. Conclusion. Visual resources is an emerging, increasingly complex field experiencing the impact of digital technologies and the many environments of practice. These include museums, archives, private organizations and libraries. A graduate degree in Library and Information Science supplemented with the week-long non-certified Summer Educational Institute in Visual Resources and Image Management course is suggested to prepare future professionals for the field. © the authors, 2009.",Article,Scopus,2-s2.0-77149135779
"Avgerinou M.D.","Re-viewing visual literacy in the ""bain d' images"" era",2009,"TechTrends","53","2",,"28","34",,27,10.1007/s11528-009-0264-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-62249120354&doi=10.1007%2fs11528-009-0264-z&partnerID=40&md5=b3e8bec9ef43def25270f705f8031676",[No abstract available],Article,Scopus,2-s2.0-62249120354
"Whitin P.E.","""tech-to-stretch"": Expanding possibilities for literature response",2009,"Reading Teacher","62","5",,"408","418",,7,10.1598/RT.62.5.4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77749239647&doi=10.1598%2fRT.62.5.4&partnerID=40&md5=ccd8f905513e50e9e44f7e7c1f2e5296","This article explores one context in which language arts instruction can be enhanced through digital technologies. It describes how preservice elementary education teachers first investigated aspects of visual literacy and then engaged in digital and traditional multimodal forms of response to historical nonfiction literature. They read, interpreted images, posted online written and visual responses, created symbolic collages, role played, enacted dramatic tableaux, and conversed. Next, they selected from and redesigned these varied representational resources to create collaborative digital movies in which they further explored an aspect of the book. Three of the group projects are analyzed for the ways in which the students capitalized upon the particular affordances of the various modalities. Implications for elementary and middle school classroom instruction are described. © 2009 International Reading Association, Inc.",Article,Scopus,2-s2.0-77749239647
"Northcut K.","Assessment of visual artifacts in the information economy",2008,"IEEE International Professional Communication Conference",,, 4610225,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650760118&partnerID=40&md5=d14b37a03f8ffac6df3a1791e7d7890f","Assessment of technical visual representations poses challenges for professionals in both academic and nonacademic settings. Recent research demonstrates the challenge faced by technical communicators who assume responsibility for visual communication with little or no formal training in design or related fields [1]. Because many people now responsible for oversight, editing, and production of visual communication are primarily verbal communicators, we tend to either ignore matters of design or superimpose linguistic evaluation strategies onto images. The alternative model suggested here pulls from the rich scholarship based on Gestalt, narrative, and semiotic theories to shape an assessment heuristic that encourages visual assessment based on some foundational tenets of visual literacy. © 2008 IEEE.",Conference Paper,Scopus,2-s2.0-78650760118
"Ferle C., Chan K.","Determinants for materialism among adolescents in Singapore",2008,"Young Consumers","9","3",,"201","214",,19,10.1108/17473610810901633,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993063474&doi=10.1108%2f17473610810901633&partnerID=40&md5=2c09fe90760c5fddedc970e8f0465013","Purpose The purpose of this paper is to examine the influence of marketing communication factors (specifically advertising viewing and responses to marketing promotions) as well as social influence factors (specifically influences from peers and media celebrities) on adolescents' endorsement of materialistic values in Singapore. As the Asian culture is said to be collective when compared with the Western culture, it is expected that social relations, both personal and celebrity-mediated, play an important role in the establishment of consumption values. Design-methodology-approach A survey of 190 high school students’ aged 13 to 18 was conducted using a structured questionnaire. Constructs were measured using established scales. Findings The paper finds imitation of media celebrities and perceived peer influence were positive predictors of materialistic consumption values while marketing communication factors were not significant predictors. Research limitations-implications The data in the paper came from a convenience sample of one high school and may not be representative of adolescents in Singapore. Practical implications The paper found that in fact advertising regulation may not impact adolescent levels of materialism to the degree previously assumed. Visual literacy courses may be a better strategy of reducing the level of materialism through discouraging the desire to imitate media celebrities. In turn, this training and heightened awareness could potentially help to diminish some of the negative peer influences in relation to materialism. Media educators should help young consumers to reflect on how their purchase decisions can be influenced by their social relations, including both personal interaction and celebrity-media communications, while simultaneously providing them with the tools to critically assess the images they view. Originality-value The paper offers insights about the complex patterns of how consumption values develop in an Asian society. It is also a pioneer work on the study of the influence of media celebrities on materialistic value orientations. © 2008, Emerald Group Publishing Limited",Article,Scopus,2-s2.0-84993063474
"Naghshineh S., Hafler J.P., Miller A.R., Blanco M.A., Lipsitz S.R., Dubroff R.P., Khoshbin S., Katz J.T.","Formal art observation training improves medical students' visual diagnostic skills",2008,"Journal of General Internal Medicine","23","7",,"991","997",,87,10.1007/s11606-008-0667-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-46949101925&doi=10.1007%2fs11606-008-0667-0&partnerID=40&md5=f3632a1d5fe048b122c9163fe868fd32","BACKGROUND: Despite evidence of inadequate physical examination skills among medical students, teaching these skills has declined. One method of enhancing inspection skills is teaching ""visual literacy,"" the ability to reason physiology and pathophysiology from careful and unbiased observation. OBJECTIVE: To improve students' visual acumen through structured observation of artworks, understanding of fine arts concepts and applying these skills to patient care. DESIGN: Prospective, partially randomized pre- vs. post-course evaluation using mixed-methods data analysis. PARTICIPANTS: Twenty-four pre-clinical student participants were compared to 34 classmates at a similar stage of training. INTERVENTION: Training the Eye: Improving the Art of Physical Diagnosis consists of eight paired sessions of art observation exercises with didactics that integrate fine arts concepts with physical diagnosis topics and an elective life drawing session. MEASUREMENTS: The frequency of accurate observations on a 1-h visual skills examination was used to evaluate pre- vs. post-course descriptions of patient photographs and art imagery. Content analysis was used to identify thematic categories. All assessments were blinded to study group and pre- vs. post-course evaluation. RESULTS: Following the course, class participants increased their total mean number of observations compared to controls (5.41±0.63 vs. 0.36±0.53, p<0.0001) and had increased sophistication in their descriptions of artistic and clinical imagery. A 'dose-response' was found for those who attended eight or more sessions, compared to participants who attended seven or fewer sessions (6.31+0.81 and 2.76+1.2, respectively, p=0.03). CONCLUSIONS: This interdisciplinary course improved participants' capacity to make accurate observations of art and physical findings. © 2008 Society of General Internal Medicine.",Article,Scopus,2-s2.0-46949101925
"Metros S.E.","The educator's role in preparing visually literate learners",2008,"Theory into Practice","47","2",,"102","109",,37,10.1080/00405840801992264,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-42549153934&doi=10.1080%2f00405840801992264&partnerID=40&md5=9a79f8db2757f3b570b28fd5ad4d3d58","Contemporary culture has become increasingly dependent on the visual, especially for its capacity to communicate instantly and universally. Advances in technology fueled this shift. Students must learn to cope with and intelligently contribute to a culture rife with easy access to the visually rich Web, photo dependant social networks, video saturated media, and graphically sophisticated entertainment and gaming. To address this challenge, some educators are transforming their school districts' and institutions' core curricula to include visual literacy requirements and preparing themselves for this shift from text to image by learning how to teach using new forms of media. In addition, educators are providing opportunities for students to be successful consumers and producers of new media by teaching them to analyze and interpret and to create and compose visual images and messages. Students must also learn how to make ethical judgments about a visual message's accuracy, validity, and worth.",Article,Scopus,2-s2.0-42549153934
"Spalter A.M., Van Dam A.","Digital visual literacy",2008,"Theory into Practice","47","2",,"93","101",,14,10.1080/00405840801992256,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-42549164750&doi=10.1080%2f00405840801992256&partnerID=40&md5=7f2c0ac8c04eb689b338d4fc245ab41a","Like other literacies (textual literacy, numeracy), digital visual literacy (DVL) is the ability both to create and to understand certain types of information, in this case visual materials created with a computer. DVL is now essential in many daily life and workplace tasks, from looking critically at newspaper images or TV evening news to using a digital camera, making a Web site, creating presentations, and modeling and visualizing data in virtually all of the sciences. DVL is, of course, also now essential in all visually oriented disciplines. Defining the underlying principles of DVL and integrating it into established curricula presents many challenges. This article describes some of these and the authors' responses, using experiences from an innovative course at Brown University and a larger-scale community-college-based project, Digital Visual Literacy.",Article,Scopus,2-s2.0-42549164750
"Thornes J.E.","Cultural climatology and the representation of sky, atmosphere, weather and climate in selected art works of Constable, Monet and Eliasson",2008,"Geoforum","39","2",,"570","580",,30,10.1016/j.geoforum.2006.10.015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-39849095064&doi=10.1016%2fj.geoforum.2006.10.015&partnerID=40&md5=b7d3e093adb2e30bde080987f90697c2","The visual turn presents new challenges and methodologies for the pursuit of geography as we seek to communicate our ideas and understanding within and beyond the discipline. This paper attempts to show the potential importance of visual culture within a field that we may call cultural climatology. Cultural climatology seeks to explore the dialectic between society and atmosphere, weather and climate at a variety of temporal and spatial scales. A new visual approach to cultural climatology is presented as a possible way of stimulating conversations across the divide between the social and physical sciences. Images and visualisation assert their presence in the understanding, modelling and communication of many nature/culture debates, highlighting a need both for visual literacy across geography, and for social and physical scientists to share their visual methodologies. Cultural climatologists, like other scientists, need visual methodologies for both the critical construction and deconstruction of the images they wish to present and with which they are confronted. To illustrate the importance of visual literacy for cultural climatologists this paper introduces a sample of works from three artists: Constable, Monet and Eliasson. It shows how an exploration of their work (via a theory of pictures) could help to provide: firstly a methodology for understanding the cultural symbolism of skies and weather; secondly an assessment of the urban atmosphere in London at the turn of the 20th century and thirdly an example of the effective representation of atmosphere, weather and climate involving public participation and understanding. Lessons learned from deconstructing these works of art will then be used to suggest improvements in the visualisation of weather in the production and consumption of weather forecasts (thus, picturing theory). © 2007 Elsevier Ltd. All rights reserved.",Article,Scopus,2-s2.0-39849095064
"Unsworth L., Ortigas I.","Exploring the narrative art of david wiesner: Using a grammar of visual design and learning experiences on the world wide web",2008,"L1 Educational Studies in Language and Literature","8","3",,"1","21",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908096561&partnerID=40&md5=973b790276dbfd7918f01ab634911d9e","This paper discusses the use of 'a grammar of visual design' with children's literature. This 'visual grammar' is an account of the meaning-making resources of images that has been developed by Gunther Kress and Theo van Leeuwen. The basic ideas of the visual grammar are firstly illustrated with a description of images mainly selected from the picture book, Zoo by the British author, Anthony Browne. The focus is then on the picture books of David Wiesner and the ways in which the grammar of visual design can be used to enhance discussions of the author's visual narrative techniques. What is proposed here is that developing students' understanding of the Kress and van Leeuwen concepts of visual design will allow them to engage in more productive analysis of the pictorial aspects of Wiesner's and other artists' picture books, both in book format and in the readily available websites with activities using Wiesner's and others' picture book art. © International Association for the Improvement of Mother Tongue Education.",Article,Scopus,2-s2.0-84908096561
"Soundy C.S., Qiu Y.","A cross-cultural analysis of young children’s visual responses to picture books",2008,"Early Childhood Education: Issues and Developments",,,,"106","125",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891619413&partnerID=40&md5=30ad91e78de9811b989c0f126b6736cf","This chapter presents the findings of a project that examined children’s artistic and linguistic responses to picture books. We postulated that children learn about representational awareness and pictorial conventions through exposure to images in children’s picture books and their visual experiences in the world. We wanted to know whether the images characteristic of children’s respective culture manifest in their drawings. Our methodology included drawing, writing, and open ended discussion in response to picture books. A qualitative, interpretative research approach was used to review the 250 drawings produced by 52 children from the U.S. and China. One Chinese and one American drawing was selected from each of the five days of the study. This small subset of 10 drawings provided insight into: (a) how visual and verbal entities found in the picture books influence the children’s productions, and (b) whether cultural dimensions are embedded in children’s meaning-making activities. In addition to interpreting these selected samples, this chapter also includes information on some common patterns and similarities as well as atypical patterns and differences across and within the American and Chinese sets of drawings. The findings reveal that young children are capable creators of artistic forms and meaning. Although pathways into visual literacy often begin with exposure to picture books, a child’s imagination, cultural influences, and the work of peers who are in close proximity join forces as children re-represent meaning through their drawings. We conclude by stating that young children’s visual representations can provide teachers and researchers with additional or alternative ways of understanding children’s construction of reading and writing. © 2008 by Nova Science Publishers, Inc.",Book Chapter,Scopus,2-s2.0-84891619413
"Simons J.","From visual literacy to image competence",2007,"Visual Literacy",,,,"77","90",,,10.4324/9780203939574,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916983369&doi=10.4324%2f9780203939574&partnerID=40&md5=0edf1c3007edc9597d609367f3020b4b",[No abstract available],Book Chapter,Scopus,2-s2.0-84916983369
"Sherwin R.K.","Visual literacy in action: ""Law in the age of images""",2007,"Visual Literacy",,,,"179","194",,3,10.4324/9780203939574,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955578235&doi=10.4324%2f9780203939574&partnerID=40&md5=323b85f2e44c81f3e033f7c1c6fae262",[No abstract available],Book Chapter,Scopus,2-s2.0-79955578235
"Trumbo J.","Visual literacy and the environment",2007,"Frontiers in Ecology and the Environment","5","8",,"443","444",,1,10.1890/1540-9295(2007)5[443:VLATE]2.0.CO;2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-35048815726&doi=10.1890%2f1540-9295%282007%295%5b443%3aVLATE%5d2.0.CO%3b2&partnerID=40&md5=35c8cc3798a69a774f85191ece8122cb",[No abstract available],Short Survey,Scopus,2-s2.0-35048815726
"Harris B.R.","Image-inclusive instruction",2007,"College and Undergraduate Libraries","14","2",,"65","75",,3,10.1300/J106v14n02_05,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34948838924&doi=10.1300%2fJ106v14n02_05&partnerID=40&md5=9a6d31664ef27c6081492d25c9aee4f8","Contemporary students may seek and use images in their course work to a much higher degree than ever before. Information literacy sessions that focus on locating, evaluating, and using written texts should also integrate discussion and activities related to images and other visual resources. The author offers manageable, time-efficient strategies for library instruction related to images that will reinforce and enhance traditional instruction topics. © Copyright (c) by The Haworth Press, Inc. All rights reserved.",Article,Scopus,2-s2.0-34948838924
"Williams R., Newton J.","Visual communication: Integrating media, art, and science",2007,"Visual Communication: Integrating Media, Art, and Science",,,,"1","447",,10,10.4324/9780203874998,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917198981&doi=10.4324%2f9780203874998&partnerID=40&md5=3355c4dfc91b33027327017463ff6d17","A well-rounded education in the 21st century requires not just verbal and mathematical proficiency, but also the ability to interpret, critique, create, and use visual communication on sophisticated levels. In today's visual world, it is critically important to hold an appreciation for the profound effects imagery has on individuals and the communities in which they live. Visual Communication focuses on cultivating visual and media literacy from both consumption and production points of view and introduces students to the application of intuitive intelligence to a visual context. Innovative in its field, it provides a solid theoretical overview of the most advanced thinking and research about visual communication, teaching readers how to apply theory to enhance their understanding of and work with images. This book is intended for students in visual literacy and communication courses. It can also be used in photojournalism courses and other coursework with a visual component. Individuals interested in mass media studies will likewise find the book to be a worthwhile read. © 2007 Rick Williams and Julianne Newton. All rights reserved.",Book,Scopus,2-s2.0-84917198981
"Dutrow B.L.","Visual communication: Do you se what I see?",2007,"Elements","3","2",,"119","126",,9,10.2113/gselements.3.2.119,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247603114&doi=10.2113%2fgselements.3.2.119&partnerID=40&md5=e5203c23572d283ed0f851c26f1649bc","Visual displays of data, Images of subatomic to planetary-scale features, and animations of geological processes are widely used to enrich our disciplines. However, their communicative power may be dramatically different to a student and to an expert because of the need for prior knowledge and Inference when Interpreting visuals. To ""see"" equivalent visual Information, the non-expert must learn the visual language of the expert. Teaching visual literacy is important to instruction at all levels and is as fundamental to a discipline as its vocabulary. The underlying foundations of visual literacy and the recognition of what one ""sees"" and interprets in a visual depiction are critical for enhancing student learning and for effective communication in our visually rich discipline.",Article,Scopus,2-s2.0-34247603114
"Alberto P.A., Fredrick L., Hughes M., Mcintosh L., Cihak D.","Components of Visual Literacy: Teaching Logos",2007,"Focus on Autism and Other Developmental Disabilities","22","4",,"234","243",,16,10.1177/10883576070220040501,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993767923&doi=10.1177%2f10883576070220040501&partnerID=40&md5=d21324a40f8ff7b699ffc1173c10496d","Definitions of literacy that focus solely on reading words provide too narrow a framework for many students with severe disabilities. Obtaining information from the environment may be accomplished in a variety of modes, such as visual literacy, which is the ability to discern meaning conveyed through images. A component of visual literacy is picture reading. This study demonstrates the teaching of logo reading through time delay as an additional component of visual literacy. Visual literacy is discussed as a primary means of obtaining information for some students and as an additional means of literacy for students who can also learn to read Words. © 2007, Sage Publications. All rights reserved.",Article,Scopus,2-s2.0-84993767923
"Steed M.B.","Attribute activation: An approach for learning visual representation",2006,"ACM SIGGRAPH 2006 Educators Program, SIGGRAPH '06",,, 1179336,"","",,2,10.1145/1179295.1179336,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450240727&doi=10.1145%2f1179295.1179336&partnerID=40&md5=737e14df96011ce24510127e19a02a7d","This paper will present an instructional approach entitled, ""Attribute Activation"" for creating and understanding visual representations. This is a technique based on cognitive theory. It will facilitate the construction and critique of visual images by slowing students down to be systematic. This instructional approach will encourage students to identify the important elements of a portrayal and understand how meaning is constructed. This document includes a literature review that explores the power of visual literacy for learning, a brief exploration of individual differences in visual processing, visual selectivity, visual problem solving, and attribute activation theory. It goes on to describe how new media and technology can be used to enhance the Attribute Activation technique. Finally, the implications for visual education will be discussed.",Conference Paper,Scopus,2-s2.0-70450240727
"Steed M.B.","Attribute activation: An approach for learning visual representation",2006,"ACM SIGGRAPH 2006 Educators Program - International Conference on Computer Graphics and Interactive Techniques",,, 1179336,"","",,2,10.1145/1179295.1179336,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548204866&doi=10.1145%2f1179295.1179336&partnerID=40&md5=5b8a91d6b42fd569c969eb44fb5fab5e","This paper will present an instructional approach entitled, ""Attribute Activation"" for creating and understanding visual representations. This is a technique based on cognitive theory. It will facilitate the construction and critique of visual images by slowing students down to be systematic. This instructional approach will encourage students to identify the important elements of a portrayal and understand how meaning is constructed. This document includes a literature review that explores the power of visual literacy for learning, a brief exploration of individual differences in visual processing, visual selectivity, visual problem solving, and attribute activation theory. It goes on to describe how new media and technology can be used to enhance the Attribute Activation technique. Finally, the implications for visual education will be discussed.",Conference Paper,Scopus,2-s2.0-34548204866
"Spalter A.M., Tenneson D.K.","The graphics teaching tool",2006,"ACM SIGGRAPH 2006 Educators Program, SIGGRAPH '06",,, 1179337,"","",,2,10.1145/1179295.1179337,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450255058&doi=10.1145%2f1179295.1179337&partnerID=40&md5=8079fdabe2916ecf38857250c4f65424","To be a ""literate"" citizen one must increasingly be able to critically evaluate digital visual materials, make decisions using digital visual representations of data and ideas, and use computers to create effective visual communications. To be literate in this sense demands at least a basic understanding of computer graphics principles. Existing curricular resources, however, are chiefly aimed at students studying computer science and related fields. For the majority of students, who do not pursue technical degrees, there is virtually no recognition of the importance of basic graphics principles or even reference to their existence. To address the needs of this audience we have developed a novel interactive Graphics Teaching Tool (GTT). The GTT is a Java-based application (and applet) that offers 2D and 3D graphics in a single environment. It is expressly designed for teaching and uses a mental model-based pedagogical approach not found in commercial graphics software.",Conference Paper,Scopus,2-s2.0-70450255058
"Harris B.R.","Visual information literacy via visual means: Three heuristics",2006,"Reference Services Review","34","2",,"213","221",,10,10.1108/00907320610669452,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745083105&doi=10.1108%2f00907320610669452&partnerID=40&md5=2c659d07dc3286cc936a44012924c820","Purpose - This paper offers definitions and application scenarios for three interdisciplinary heuristics designed to encourage a more holistic view of texts with the objective of raising awareness and enhancing the information literacy of student researchers. Design/methodology/approach - The paper is based on the thesis that visual texts and images should be considered in information literacy theory and practice, a selection of three visual heuristics found to be useful in instruction session situations are explained and described in a practical teaching situation. Findings - These three heuristics can be used in a number of ways for different audiences to encourage critical thinking about the context, components, and the communication process involved in presenting texts used by students (from books, to journal and newspaper articles, and web sites). Research limitations/implications - There are other useful heuristics that have not been considered within the scope of this study. Other readers and researchers may locate and discuss other means by which these ends can be achieved. Originality/value - A number of texts in the professional literature have discussed whether or not visual literacy and images should be considerations for information literacy advocates. Few have offered specific interdisciplinary examples that might be used to experiment with or achieve such an aim. © Emerald Group Publishing Limited.",Review,Scopus,2-s2.0-33745083105
"Kulcsar J.","Alfabetização visual de jovens imigrantes brasileiros nos EUA",2006,"Estudos Avancados","20","57",,"93","98",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748747694&partnerID=40&md5=8956ca5fe86d7c5e522417500c7a4c4d","This article focuses on the use of visual literacy as a tool to analyse the question of immigration with young undocumented Brazilians, living in the Boston area of the United States. In the project ""Identities: Ruptures & Permanence"", developed in the University of Harvard, they expressed their current situation through the use of Photographs. © 2006 Instituto de Estudos Avançados da Universidade de São Paulo.",Article,Scopus,2-s2.0-33748747694
"Bissell K.L.","Skinny like you: Visual literacy, digital manipulation and young women's drive to be thin",2006,"SIMILE","6","1", 73,"","",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645313783&partnerID=40&md5=efb6e47124bc3ad391321e53f1b1666e","Numerous studies have established a relationship between thin ideal media content and disordered eating patterns in women. Many of the images viewed in the media that endorse the thin ideal are digitally manipulated or computer-created. This experiment compared college women's visual literacy - defined in terms of their knowledge of digital manipulation in fashion and entertainment images - to their desire to be thin, their desire to look like the model shown and four disordered eating subscales. Visual literacy did not reduce participants' desire to look like the model seen; however, entertainment media was a significant predictor of greater body image distortion across the sample.",Article,Scopus,2-s2.0-33645313783
"Curran K., Casey M.","Expressing emotion in electronic mail",2006,"Kybernetes","35","5",,"616","631",,5,10.1108/03684920610662368,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745150449&doi=10.1108%2f03684920610662368&partnerID=40&md5=1cb7e1fc689f2f962b25107e7abf8ba3","Purpose - Electronic mail (e-mail) and messaging systems are a powerful means of communication which are fast become a primary means of communication. This paper aims to describe the need for expression in e-mail. Design/methodology/approach - This paper describes the need for expression in e-mail and the development of a personalised e-mail system. A survey is carried out to comprehend the derived meanings from visuals; as a result the prototype is formed. Findings - This paper presents a prototype which utilises the idea of reading pictures as sentences and the semiotic and linguistic meaning derived from those sentences. The system aims to interpret the sender's thoughts and convey their emotion and personality through a combination of graphical components, image, and expressive typography. In contrast with the new developing successful language that is rapidly spreading in the use of mobile devices, this personalized e-mail introduces a visual language that people will acquire in using their e-mails. Initial findings are presented from exercises of visual literacy, where the viewer has to play a series of matching games with words and images in order to derive each user's meanings and interpretations. Research limitations/implications - This interactive piece is attempting to transform the static nature of e-mail into a more dynamic form that can offer new ways to interpret verbal information visually. The device will instill the user's message with more authentic personalities and expressions. Practical implications - Cognitive semiotics is something designers explore over time with intuition and experience. Introducing and equipping young designers in college, with regard to semiotics would speed up this essential and unavoidable mental process. Originality/value - This research will accelerate the coming of emotion to computer systems. Graphic design should be viewed from a structuralism perspective as a language system, to extend the understanding of language from a spoken and written system of signs to a manner of visual signals. Designers play a part in reinventing and redefining signs and symbols. © Emerald Group Publishing Limited.",Review,Scopus,2-s2.0-33745150449
"Christie A.A., Naish V.A., Kelter J.A., Pearman C.E., Wycoff III W.J., Gender J.T.","Update on: Language arts comes alive as middle school learners become information producers",2005,"Meridian","8","1",,"","",3,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-21244432768&partnerID=40&md5=497389fe259709edd7ce1b3b59376f84","In a collaborative visual literacy project between a university professor and school teacher, middle school students used digital video and iMovie to master state language arts standards. The first video called OUr Chance of a Life Time shows a variety of student digital video editing projects. The second video called Reflections explores student's thoughts on learning with a digital camera in their hands. The third video called Student Projects spotlights the student's school video news magazine.",Article,Scopus,2-s2.0-21244432768
"Nova A.","Perception and acceptance in the writings of John Shearman [Percezione e ricezione negli scritti di John Shearman]",2005,"Romisches Jahrbuch fur Kunstgeschichte","35",,,"17","22",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60950573873&partnerID=40&md5=591786f10380b80198799fb5aaf8cfda","Much has been written on John Shearman's interest in the scientific analysis of works of art and in their physical as well as cultural context, all themes already developed by the School of Vienna and absorbed through the filter of his beloved teacher, Johannes Wilde. This contribution focuses instead on his perceptual studies. Nobody has described and interpreted better than Shearman the light and shadow of Renaissance art, its chromatic values, the representation of transparency in painting air and water. In a time in which the power of images and a visual literacy are constantly invoked, we should not forget that he dealt pragmatically with such problems well before they became matter of theoretical debate in an institutional discourse.",Article,Scopus,2-s2.0-60950573873
"Willerton R.","Visual metonymy and synecdoche: Rhetoric for stage-setting images",2005,"Journal of Technical Writing and Communication","35","1",,"3","31",,10,10.2190/P22X-GKA9-7FGT-MT2X,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-14744284581&doi=10.2190%2fP22X-GKA9-7FGT-MT2X&partnerID=40&md5=d87702eae5f8d804ce2cfbe68809816f","The recent trend of incorporating more visuals into communication challenges technical communicators, who must now possess both verbal and visual literacy. Despite all the recent scholarship on visual aspects of technical communication, technical communicators lack thorough guidelines for selecting and composing effective images that convey thematic and conceptual information, or what Schriver calls ""stage-setting"" images. This article reviews existing literature in visual communication and reports results of a study that assessed readers' opinions of themes conveyed by specific example images. It then suggests that the rhetorical tropes of metonymy and synecdoche can be used to identify images for conveying certain themes, and that successful stage-setting images will show intrinsic, not extrinsic, relationships to their thematic subject matter.",Review,Scopus,2-s2.0-14744284581
"Pantaleo S.","""Reading"" young children's visual texts",2005,"Early Childhood Research and Practice","7","1",,"58","76",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-21244441070&partnerID=40&md5=ee143396477ae1f559de1e7ba37ca77b","This article discusses a study that explored first-grade students' responses to and interpretations of eight picture books with metafictive devices. The article focuses on children's visual and written responses to the picture books and describes the relationship between the students' visual and verbal texts with respect to storytelling. The two main categories in a categorization scheme that describes text-image relationships in picture books - parallel storytelling and interdependent storytelling-were adapted to analyze the students' visual and written responses. Analysis of data revealed that for seven of the eight picture books, at least one-half of the children's visual and verbal texts were categorized as interdependent storytelling. Thus, to a certain extent, the children's images and text emulated the interdependent storytelling nature of the picture books used in the study. The article concludes with discussions about the value of viewing children's work as miniature ecosystems and the importance of developing children's visual literacy skills.",Review,Scopus,2-s2.0-21244441070
